Checked,Ion,Charge,Molecular Weight,m/z,RT [min],FWHM [min],# MI,Area,Parent Area [%],Study File ID
FALSE,[M-H]-1,-1,901.67842,900.67114,11.175,0.151,4,3354296.434,100.0,F1
FALSE,[M-H]-1,-1,1422.95454,1421.94727,14.335,0.129,3,3341844.427,100.0,F1
FALSE,[M-H]-1,-1,787.53779,786.53052,7.747,0.147,2,3341423.3,100.0,F1
FALSE,[M-H]-1,-1,870.54255,869.53528,7.093,0.039,5,3150238.512,94.672,F1
FALSE,[M-H]-1,-1,747.52229,746.51501,8.571,0.084,3,2889599.88,100.0,F1
FALSE,[M-H]-1,-1,779.58504,778.57776,10.095,0.081,3,1444310.25,43.729,F1
FALSE,[M-H]-1,-1,530.4709,529.46362,10.761,0.089,4,3280074.425,100.0,F1
FALSE,[M-H]-1,-1,1511.09321,1510.08594,9.564,0.067,5,3245235.174,100.0,F1
FALSE,[M-H]-1,-1,954.70234,953.69507,11.142,0.106,5,3210036.732,100.0,F1
FALSE,[M-H]-1,-1,1023.67134,1022.66406,8.12,0.063,4,1021661.755,31.892,F1
FALSE,[M-H]-1,-1,529.28053,528.27325,1.37,0.1,4,1257569.607,39.43,F1
FALSE,[M-H]-1,-1,951.69423,950.68695,11.143,0.111,5,3169183.591,100.0,F1
FALSE,[M-H]-1,-1,1218.99251,1217.98523,19.047,0.1,6,3126587.415,100.0,F1
FALSE,[M-H]-1,-1,790.55678,789.5495,8.974,0.046,3,658351.9582,100.0,F1
FALSE,[M-H]-1,-1,1372.94172,1371.93445,13.685,0.136,6,3101626.216,100.0,F1
FALSE,[M-H]-1,-1,836.54262,835.53534,8.218,0.218,2,3073280.665,100.0,F1
FALSE,[M-H]-1,-1,688.55256,687.54529,8.329,0.071,4,3053175.227,100.0,F1
FALSE,[M-H]-1,-1,1483.06282,1482.05554,9.548,0.061,4,3044554.877,100.0,F1
FALSE,[M-H]-1,-1,741.53267,740.52539,9.338,0.084,2,3026977.911,100.0,F1
FALSE,[M-H]-1,-1,775.55299,774.54572,9.098,0.094,2,1792974.955,100.0,F1
